IntentID,IntentName,Query,Response,Action,InputContent,OutputContent,Lifespan
32,32,ASKED ABOUT DROPPING OF FLOWER IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,,,,
33,33,asking about ATTACK OF POD BORER on brinjal ?,ATTACK OF POD BORER on brinjal - Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection,,,,
34,34,ATTACK OF APHIDS on onion ?,Spray Actra 5 gm + Bavistine 30gm /15 Liter of Water (Thiomithoxom 25%)-Syngenta,,,,
35,35,asking about ATTACK OF APHIDS in onion ?,ATTACK OF APHIDS in onion - Spray Actra 5 gm + Bavistine 30gm /15 liter of water.,,,,
36,36,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19  60 GM/15 litre water,,,,
37,37,ASKED ABOUT VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED,,,,
38,38,Asked About Attack of White Grub in onion  ?,Attack of White Grub in onion =Humnasur 4 kg/acre(Patil Biotech),,,,
39,39,Flower Drop in cotton ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA) BAYER,,,,
40,40,asked about varieties of gram?,"variety- vijay , vishal,digvijay",,,,
41,41,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT ?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268,,,,
42,42,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418,,,,
43,43,Asked about Flower drop on tur?,Flower drop on tur-Spray of Plano fix 4ml/15 Lit of Water.,,,,
44,44,ASKING ABOUT FRUIT DROP OF COCONUT  ?,DRENCHING OF  CALSIBOR 40 GM +00 52 34 60 GM/15 LITERS OF WATER,,,,
45,45,FARMER ASKED ABOUT MARKET RATE of PUMPKIN?,MARKETE RATE OF PUMPKIN-800-1200 RS/QTL,,,,
46,46,Attack of Caterpillar ?,Spray fame 5ml/15 Liter of Water (Flubendiamide 480SC),,,,
47,47,Attack of Jassids/Leaf hoppers ?,SPRAY BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN,,,,
48,48,ASKING ABOUT Flower Drop OF SPONGE GOURD?,APPLICATION OF BORON HALF KG + CALCIUM NITRATE HALF KG + 00 52 34 3 KG THROUGH DRIP,,,,
49,49,ASKED ABOUT ATTACK OF WHITE GRUB ?,FOR CONTROL ATTACK OF WHITE GRUB Use Thimate 4 kg / acre.,,,,
50,50,ASKING ABOUT ATTACK OF PINK BOLLWORM ON COTTON ?,ATTACK OF PINK BOLLWORM ON COTTON - Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,,,,
51,51,Attack of White Fly ON COTTON ?,Attack of White Fly ON COTTON - Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL,,,,
52,52,ASKING ABOUT ATTACK OF SUCKING PEST ON CHILLIES  ?,ATTACK OF SUCKING PEST ON CHILLIES - SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,,,,
53,53,ASKED ABOUT FERTILIZER SPRAY FOR ONION ?,FERTILIZER SPRAY FOR ONION- SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,,,,
54,54,ASKED ABOUT FLOWER DROP IN COTTON ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,,,,
55,55,FARMER ASKED ABOUT BLIGHT ATTACK ON ONION  ?,FOR CONTROL OF BLIGHT ATTACK ON ONION  :- Spray Blue copper-30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP),,,,
56,56,WEED MANAGEMENT IN ONION ?,WEED MANAGEMENT IN ONION-SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING,,,,
57,57,ASKED ABOUT FERTILIZER APPLICATION FOR SUGARCANE ?,FERTILIZER APPLICATION FOR SUGARCANE APPLY 00:52:34 - 5 KILO + MICROLLA - 500 ML / ACRE THROUGH DRIP,,,,
58,58,VARIETIES OF ONION ?,VARIETIES OF ONION -  NO -53 POONA FURSUNGI BASWANT-780 NO-2-4-1 PHULE SUVARNA AGRIFOUND DARK RED,,,,
59,59,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF -300-1200/- RS/QTL,,,,
60,60,VARIETIES OF GROUNDNUT ?,VARIETIES OF GROUNDNUT -SB-11 TAG-24 TPG-41 TG-26 PHULE -285,,,,
61,61,Attack of White Grub ?,Attack of White Grub -Use Fertera10 kg /acre,,,,
62,62,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,,,,
63,63,asked about attack of sucking pest and blight on onion ?,attack of sucking pest and blight on onion - spray rijent 30 ml + saaf 30 gm / 15 liter water,,,,
64,64,asked about controll of caterpillar in cotton ?,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna,,,,
65,65,asked about gad fly attack on bovine?,"Karanj Kadunim oil has insecticide properties in Karanj. This oil is used for planting animals. Due to this, external parasites will die.",,,,
66,66,ASKED ABOUT ATTACK OF BLIGHT ON ONION ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.,,,,
67,67,ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 3 ml/15 Lit of Water.(NAA),,,,
68,68,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,drenchingof  Chloropyriphos 30 ml + saff 30 gm/15 Lit of Water.,,,,
69,69,asked about onion cultivation ?,"Take 20 kg of nitrogen, 20 kg of phosphorus and 20 kg of potash on onion crop. After this, give 20 kg of Nitrogen per acre in 1 month. It is important to give regular water to the onion crop. During the Kharif season, after the interval of 10 to 12 days, during the summer rabi season, after 6 to 8 days, give irrigation water to the land.",,,,
70,70,ASKED ABOUT VARIETIES OF DRUM STICK ?,"VARIETIES OF DRUM STICK - MORINGA, ODISI, PKM-1, PKM-2, CO-1, SIDHIVINAYAK SHEVGA, KONKAN RUCHIRA",,,,
71,71,VARIETIES OF SORGHUM ?,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1",,,,
72,72,FERTILIZER SPRAY FOR GROWTH?,00:52:34 60 GM + MICROLA 30 ML /15 LITER WATER,,,,
73,73,"ASKED ABOUT ATTACK OF SUCKING PEST ON COTTON? 

ASKING ABOUT SPRAY FOR FLOWERING ?","Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL

Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE",,,,
74,74,Asked about fertilizer spray on onion?,Fertilizer spray on onion-Spray of 19:19:19 60gm + microlla 302ml/15 liter water.,,,,
75,75,asked about beekeeping toll free number ?,"beekeeping mahabaleshwar, dist- satara toll free number-?????-??????",,,,
76,76,ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY BLUE COPPER 30 GM + KASUGAMYCIN 25 ML/ 15 WATER.,,,,
77,77,Attack of Thrips?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,,,,
78,78,FLOWER DROP in pomogranate ?,SPRAY Boomflower 25 -30 ml in 15 LITER WATER,,,,
79,79,ASKED ABOUT VARIETIES OF BRINJAL ?,"VARIETIES OF BRINJAL ?



VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV",,,,
80,80,FERTILIZER SPRAY FOR GROWTH for onion ?,FERTILIZER SPRAY FOR GROWTH for onion - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER. 10 : 26 : 26 1 BAG/ ACRE,,,,
81,81,ATTACK OF APHIDS ?,Spray of bio-303 15 ml/15 liter water.,,,,
82,82,Attack of  Downy or blight  or Powdery on onion ?,Attack of  Downy or blight  or Powdery on onion - Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer,,,,
83,83,asked about varieties of onion ?,"onion vrieties - pusa red , arka pragati , arka niketan , light red",,,,
84,84,asking about ATTACK OF LEAF MINER on gram ?,ATTACK OF LEAF MINER on gram - Spray Neem ark 30 ml/15 liter water.,,,,
85,85,asking about ATTACK OF APHIDS on onion ?,ATTACK OF APHIDS on onion - SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %),,,,
86,86,Attack of Jassids/Leaf hoppers  ON ONION?,"SPRAY KARATE 20 ML 





























SPRAY KARATE 20 ML /15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA",,,,
87,87,Attack of Thrips ON COTTON ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,,,,
88,88,asked about VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,,,,
89,89,ATTACK OF APHIDS onion ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,,,,
90,90,asked about thrips attack on fenugreek ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,,,,
91,91,farmer asked about fertilizer spray for cotton?,fertilizer spray for cotton:- 13: 40: 13  65 gram/ 15 liter water,,,,
92,92,ASKED ABOUT MARKET RATE OF POMEGRANATE  ?,MARKET RATE OF POMEGRANATE - 2000-15000 RS/QUINTAL,,,,
93,93,asking about shining on pomogranate?,potasium sonite 3 kg / acre through drip,,,,
94,94,ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION -MIN-100	 MAX-  1200  AVERAGE- 950 RS/QUINTAL,,,,
95,95,Attack of Jassids/Leaf hoppers?,Jassids/Leaf hoppers:- BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,,,,
96,96,Asking About Market Rate?,Market Rate -4950 rupees/qt.,,,,
97,97,ASKING ABOUT  FERTILIZER DOSE FOR fodder sorghum?,APPLICATION OF 10 26 26 2 BAG + UREA 1BAG,,,,
98,98,Asked about Varieties of wheat?,"Varieties of wheat-Trambak,sharad,netravati,Panchwati.",,,,
99,99,ASKED ABOUT ATTACK OF WHITE GRUB IN ONION?,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.,,,,
100,100,FERTILIZER DOSE FOR SUGARCANE ?,FERTILIZER DOSE FOR SUGARCANE = 136 KG UREA + 85 KG P+ 85  KG K / HECTER,,,,
101,101,ATTACK OF APHIDS ON COTTON ?,ATTACK OF APHIDS ON COTTON = SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,,,,
102,102,farmer asked about leaf curl of okra ?,LEAF CURL OF OKRA = BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,,,,
103,103,ASKED ABOUT WILT ATTACK IN ONION?,Spray Blue copper -30 gm + KASUGAMYCIN /15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,,,,
104,104,ATTACK OF SHOOT BORER on Brinjal ?,"Spray Triazhophos 30 ml/15 liter water

Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova",,,,
105,105,FERTILIZER SPRAY FOR GROWTH FOR FENUGREEK ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,,,,
106,106,ASKED ABOUT FOR FLOWERING ON BRINJAL ?,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,,,,
107,107,ASKED ABOUT VARIETIES OF GARDEN PEA ?,"VARIETIES OF GARDEN PEA -ARKEL ,JAWAHAR-1, BONVHILA,NP-29, JK-124",,,,
108,108,ASKING ABOUT CONTROLL OF FUNGAL ATTACK ?,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta,,,,
109,109,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 300	1200	900RS/QTL,,,,
110,110,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on pomogranet?,CONTROLL OF BLIGHT ATTACK on pomogranet-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,,,,
111,111,Attack  Stem Borer?,Drenching of Chloropyriphos 40 ml / 15 lit of water.,,,,
112,112,asked contact number of United India Insurance Customer Care?,United India Insurance Customer Care 1800 425 33333. Toll free Number(s): 1800 425 33333 (Mon-Fri 10 to 5.45 Pm),,,,
113,113,FARMER ASKED FERTILIZER SPRAY FOR CABBAGE ?,FERTILIZER SPRAY FOR CABBAGE SPRAY 00 52 34 60 GM + MICROLLA 30 ML /15 Lit of Water.,,,,
114,114,ASKED ABOUT ATTACK OF NEMATODE ON CAPSICUM ?,FOR CONTROL  ATTACK OF NEMATODE ON CAPSICUM TAKE  DRENCHING OF NEMAZOLE - 30 ML / 15 LITRE WATER.,,,,
115,115,"Attack of Aphids,Thrips and Jassids on onion ?",Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,,,,
116,116,ASKING ABOUT SPRAY ON POMOGRANATE?,SPRAY XANTHONIL 30MILI + Z-78 30 GRAM/15 LITER OF WATER,,,,
117,117,ASKED ABOUT MARKET RATE OF ONION ?,PUNE MARKET RATE OF ONION  -600-1300 RS/QUINTAL,,,,
118,118,Asked about attack of caterpillar on cotton ?,For control attack of caterpillar on cotton  Spray Quinolphos 30 ml / 15 liter water,,,,
119,119,Attack of White Grub on sugarcane?,Humnasur 6 kg/acre(Patil Biotech),,,,
120,120,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray m-45 30 gm + MICROLA 30 ML /15 liter water,,,,
121,121,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION- MIN-300    MAX- 	800	 AVERAGE-550      RS/QTL,,,,
122,122,asked about fertilizer dose,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova,,,,
123,123,Which fertilizers use in Onion Crop?,"You should be do FYM 15-17 tonne /ha. And Nitrogen 100-120 kg. + Phosphorous 50 kg. + Potash 50 kg. And sulphar 25 kg. + Zinc sulphate 5-7 kg. /hacter...

fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre",,,,
124,124,Asked about Minimum support price of maize?,Minimum support price of maize-1700/qtl.,,,,
125,125,FUNGAL ATTACK on pomogranate ?,Spray Cabriotop 30 gm/15 Liter of Water-metiram (dithiocarbamate) Basf,,,,
126,126,ASKED ABOUT VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,,,,
127,127,ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion- 1300 RS/QUINTAL,,,,
128,128,Asked about Market rate of onion?,Market rate of onian-400-995/qtl.,,,,
129,129,Asking about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall,,,,
130,130,FERTILIZER DOSE FOR BRINJAL ?,FERTILIZER DOSE:- 10 : 26 : 26 1 BAG /ACRE,,,,
131,131,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on brinjal?,CONTROLL OF BLIGHT ATTACK on brinjal-SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,,,,
132,132,ASKED ABOUT MARKET RATE OF on onion?,MARKET RATE OF onion-300-1200	 RS/QUINTAL,,,,
133,133,Farmer asked about market rate Black Gram ?,"Market price of Black Gram -

Min-5600  Max- 6000  Average- 5750  Rs./quintal",,,,
134,134,Attack of Thrips on Onion ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA,,,,
135,135,ASKED ABOUT FRTILIZER DOSE FOR ONION ?,SPRAY OF 19 19 19   60 GM +MICROLLA 30 ML /15 LITRE PUMP,,,,
136,136,Asking About Market Rate of onion?,Market Rate of onion-1100 rupees/qtl,,,,
137,137,REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 13:00:45 60 GM/15 LITER WATER,,,,
138,138,ASKED ABOUT FERTILIZER DOSE FOR ONION?,"Fertilizer -10: 26: 26 One Bag / Acres, SAS-1 Bags / Acres, Mahadan -10 kgs 1 Bag / Acres",,,,
139,139,Farmer asked about market rate?,"Market price of  - ONION

Min-1200	  Max- 1600	  Average-  1400   /quintal",,,,
140,140,asking about the marigold planting ?,"60 years of planting marigold Me From the middle of the summit taken 30 Me It should be planted by keeping the distance between two such plants. 60 x 30 Me Planting at the distance requires 40,000 hectare of seedlings",,,,
141,141,ASKED ABOUT SEED TREATMENT OF GRAM ?,"SEED TREATMENT OF GRAM =APPLICATION 2 GM BAVISTIN + 2 GM THAIRAM / 1 KG SEED,AFTER THAN 250 GM RAIZOBIUM MIX IN JAGGARY SOLUTION THEN APPLY IN 10 KG TREATMED SEED.",,,,
142,142,asked about attack of catter pilar on okra  ?,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna,,,,
143,143,ASKING ABOUT  FERTILIZER SPRAY ON ONION?,FERTILIZER SPRAY ON ONION: SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,,,,
144,144,asking about fertilizer dose for onion ?,fertilizer dose for onion- urea 1 bag  kilo+ ssp 1 bag + 30 kilo  mop / acre,,,,
145,145,ASKED ABOUT FERTILIZER SPRAY ON ONION FOR GROWTH ?,SPRAY 00 52 34  60 GM /15 Lit of Water.,,,,
146,146,Flower Drop?,Spray Plano fix 4 ml/15 Lit of Water.(NAA) BAYER,,,,
147,147,VARIETIES OF DRUMSTICK ?,VARIETIES OF DRUMSTICK  -MORINGA ODISI PKM-1 PKM-2 CO-1 SIDHIVINAYAK SHEVGA KONKAN RUCHIRA,,,,
148,148,ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC ?,CONTROL OF BLIGHT ATTACK ON TURMERIC SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA,,,,
149,149,ASKED ABOUT MARKET RATE OF ONION  ?,PUNE MARKET RATE OF ONION  -600-1300  RS/QUINTAL,,,,
150,150,VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,,,,
151,151,YELLOWING ON BITTER GOURD ?,SPRAY MICROLA 30 ML + M 45 30 GM/15 LITER WATER,,,,
152,152,ASKING ABOUT REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,,,,
153,153,FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION = SPRAY 19:19:19 60 GM /15 LITER WATER,,,,
154,154,VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12",,,,
155,155,VARIETIES OF PAPAYA ?,VARIETIES OF PAPAYA -TAIWAN -786 WASHINGTON CO-1 CO- 2 CO- 4 PUSA MAJESTY,,,,
156,156,ASKING ABOUT VAREITIES OF GARDEN PEA ?,"VARIETY OF GARDEN PEA : ARKEL , JAWAHAR , PHULE PRIYA",,,,
157,157,farmer asking about fungal attack on bitter guard?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,,,,
158,158,farmer asked about fertilizer spay on pomegranate ?,SPRAY 00 52 34 60 GM + microlla 30ml  /15 Lit of Water.,,,,
159,159,BLIGHT ATTACK on onion  ?,BLIGHT ATTACK on onion :- Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE,,,,
160,160,ASKING ABOUT REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,,,,
161,161,FARMER ASKED ABOUT MARKET RATE OF soybean ?,MARKET RATE OF soybean-SHRIRAMPUR= 2900-3050 RS/QTL,,,,
162,162,pink bollworm control on cotton crop?,you can spray profex super 40 mili +asefet 30 gram /pamp water use for pink bollworm control on cotton crop,,,,
163,163,asked about attack of mealy bug,Methyl demeton 25% flow 30 ml or dimethoate 30% water flow 26 ml for breeding of pests. Or 50 percent of methionone fluid spray 20 ml of any one of these insecticides mixed in 10 liters of water.,,,,
164,164,Asked about Attack of sucking pest?,Spray of bio-303 15ml/15 liter water.,,,,
165,165,SEED TREATMENT TO SUGARCANE SETS ?,SETS ARE TREATED WITH 100 GM CARBENDAZIM + 300 ML MALATHION /100 LITERS OF WATER FOR 10 MIN AND THEN 10 KG AZATOBACTOR+ 1.25 KG PSB /100 LITERS OF WATER FOR 30 MIN,,,,
166,166,attack of sucking pest on chilli?,Spray Confidor 10 ml /15 litar water (Imidacloprid 17.8 %),,,,
167,167,asked varieties of french bean,"variety- varun,HPR -35_3",,,,
168,168,Farmer Asked About Market Rate?,MARKET RATE OF COTTON- QUINTAL Min - 5150  Max -5211  Average-5211,,,,
169,169,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK,,,,
170,170,asked about snail control on grass ?,spray dimtheote 2 ml / 15 litre water,,,,
171,171,asking about watermalon variety?,"Sugar Baby - This caste is popular in Maharashta. The fruit is medium size of 4 to 5 kg, and the color of the fruit is huge in diamonds and the red is very sweet and the seeds are small.",,,,
172,172,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on onion ?,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE,,,,
173,173,ASKED ABOUT BLIGHT ATTACK ON GINGER  ?,BLIGHT ATTACK ON GINGER-Spray Score  8 ml/15 Liter of Water (Difenconyazol 25%EC)-Syngenta,,,,
174,174,FERTILIZER SPRAY FOR GROWTH ON GINGER?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,,,,
175,175,ASKED ABOUT MARKET RATE OF  ONION?,MARKET RATE OF ONION -LASALGAON-400-1314 RS/QUINTAL,,,,
176,176,WEED MANAGEMENT IN BENGAL GRAM ?,SPRAY Pendimethylin 1-1.5 kg a.i/ha in 800-1000 lit of water,,,,
177,177,asked about market rate of ONION?,onion market rate of =100-900 RS /QUINTAL,,,,
178,178,AASKED ABOUT CONTACT NUMBER Central Poultry Development Organization,"Central Poultry Development Organization, Mumbai Phone No.222-26858572 / 022-26858840",,,,
